Sample,10:00,11:00,12:00,13:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,16:4n-1,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,19:00,18:2n-6,18:2n-4,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-13,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2NMI,22:2n-6,22:3n-3,22:4n-6,24:00:00,22:5n-6,24:1n-9,22:5n-3,22:6n-3,24:5n-3,24:6n-3,SFA,MUFA,PUFA,n-3 PUFA,n-3 LC PUFA,n-6 PUFA,n-6 LC PUFA,n-6/n-3,SUM_SMP,PUFA_cal,treatment,tank,genotype,type
F-T2-5-03,0,0,0.122339402,0,0.376931025,0.094668453,0.206915542,3.233631268,0.12677432,1.038872039,0.154061964,26.69527514,1.709825343,11.04475591,0.563124228,0.156731189,0.203417384,4.132319303,0,8.437111379,0,0,2.739695205,0.376859162,0,0,0.865998049,0,1.325156918,0.325502351,0.455508255,1.295400085,5.303202232,0,0,0.834936875,0.288750066,0.254111111,1.411547526,4.007988395,0,0.24913095,0.659558572,0,0,6.435935959,0,0,0,2.786363911,0.28973398,0,0,0.994259809,9.688336865,0,0,52.69500022,2.982329692,33.52840903,22.87724312,17.7780912,10.65116591,8.460010944,0.465579085,89.20573894,35.28001156,Fish,2,5,coral
F-T3-1-16,0,0,0.125670271,0,0.483530238,0.110308152,0.259320035,2.749744027,0.098182567,0.626946638,0.172701307,23.07954504,1.565135433,8.209752553,0.492973373,0.220287541,0.325748126,4.920242836,0,6.945694279,0,0,1.943798712,0.498328092,0,0,0.806275964,0,1.37556331,0.346240401,0.460667556,1.04402753,6.715081222,0,0,0.51844209,0.264997376,0.240201361,1.264651997,6.198634011,0,0.23233024,0.707773828,0,0,10.0334415,0,0,0,2.723884196,0.298409709,0,0,1.649765574,11.0086156,0,0,43.57711766,2.574748938,42.47678229,29.86757145,23.3995965,12.60921084,10.42737156,0.422170609,88.62864889,44.34951801,Fish,3,1,coral
F-T3-2-07,0,0,0.139306432,0,0.495503515,0.127563461,0.285425451,2.701992004,0.114933062,0.834401585,0.199122735,22.43751129,1.579156719,7.837064278,0.476621008,0.18928999,0.289628226,5.522439367,0,8.028361689,0,0,1.735891354,0.417080432,0,0,0.735614708,0,1.376698948,0.44336089,0.67507007,1.309542891,5.840379838,0,0,0.51995509,0.321791923,0.292246497,1.094836855,7.152640244,0,0.221524379,0.606328065,0,0,8.41765298,0,0,0,4.066955744,0.314646299,0,0,1.420830229,10.27512878,0,0,44.14614277,2.602457597,41.34805489,26.6290619,20.71994006,14.71899299,12.60667934,0.552741702,88.09665526,43.16399308,Fish,3,2,coral
F-T3-2-29,0,0,0,0,0.553294846,0.154812155,0.311228848,2.665522244,0,0.76278815,0.240282792,22.39105705,1.570572184,7.085354267,0.606834514,0.195108759,0.4528703,5.853988305,0,9.391997525,0,0,2.296055437,0.395314118,0,0,0.946109186,0,1.276434318,0.651184212,0.979527412,1.369678771,5.122612227,0,0,0.377429806,0.343371849,0.303678196,1.10907783,6.730289958,0,0.278751803,0.632153839,0,0,8.54962654,0,0,0,4.030705614,0.464956398,0,0,1.341058141,7.840010996,0,0,44.75347806,2.383393541,38.22913042,23.83283532,18.36284952,14.3962951,12.1737516,0.604052976,85.36600202,40.57217328,Fish,3,2,coral
F-T3-4-06,0,0,0,0,0.348178568,0.110947649,0.192391803,2.601221942,0.096173735,0.888309916,0.197906147,25.24414942,1.769929603,10.41346353,0.57455894,0.153991254,0.307784349,5.293805793,0,10.1088725,0,0,2.039229999,0.379841883,0,0,0.73817418,0,1.231946951,0.359764647,0.591832966,1.537170849,4.640254415,0,0,0.572211134,0.358324263,0.255116301,1.501539806,4.825647613,0,0.234983023,0.700064286,0,0,6.081484294,0,0,0,3.801237035,0.269670345,0,0,1.15105799,8.949654199,0,0,51.65616578,2.790211874,33.76794575,21.41428386,16.88226077,12.35366189,10.38354076,0.576888864,88.21432341,35.71011797,Fish,3,4,coral
F-T3-4-09,0,0,0,0,0.515478829,0,0.288845452,2.430513942,0.152707308,0.653659822,0.242493666,21.64716872,1.756727875,6.241061868,0.429156952,0.201620179,0.457052765,6.685548531,0,11.02602844,0,0,2.823057232,0.433753075,0,0,0.84412565,0,1.136264928,0.556361835,0.713384742,1.583979436,5.397087811,0,0,0.351756838,0.372640583,0.277926705,0.931933716,5.853096676,0,0.277741585,0.522754457,0,0,7.912658896,0,0,0,5.24572863,0.36740948,0,0,1.44501502,8.027919239,0,0,44.60020387,2.705305866,37.78514201,23.49606571,17.90834761,14.28907631,12.30868573,0.608147614,85.09065175,39.75046802,Fish,3,4,coral
F-T4-1-30,0,0,0,0,0.407987406,0,0.224844908,2.22796274,0,0.524543538,0.199158985,23.62189637,1.713733596,6.372061283,0.451274772,0.165406602,0.405618251,5.52120904,0,10.08317366,0,0,2.453043181,0.628394867,0,0,1.289575003,0,1.340886818,0.585004235,0.818318545,1.423157857,4.779116246,0,0,0.555992953,0.384912725,0.425122107,1.188137765,6.585493605,0,0.374610847,0.759706901,0,0,7.667722642,0,0,0,4.761233206,0.423554743,0,0,1.469086632,7.786451033,0,0,45.43587377,2.634292135,38.1111436,22.5206951,17.68296721,15.5904485,12.95998668,0.692272083,86.1813095,40.31274776,Fish,4,1,coral
F-T4-2-20,0,0,0,0,0.54599085,0,0.307651787,2.557607691,0,0.65450683,0.243234365,21.09941301,1.4840109,5.817664469,0.453566872,0.197179393,0.44161874,6.351786176,0,9.590279877,0,0,4.057794335,0.434407756,0,0,0.966346978,0,1.310010542,0.622327425,0.852937288,1.378367355,5.017066104,0,0,0.360578511,0.333037999,0.306257677,0.911437206,7.529730877,0,0.273059111,0.591984191,0,0,8.310341559,0,0,0,4.54493147,0.474379762,0,0,1.244764363,8.084011122,0,0,42.17831611,2.28500317,39.07783518,23.50912043,18.23110123,15.56871475,13.29235723,0.662241482,83.54115446,41.18733241,Fish,4,2,coral
F-T4-3-42,0,0,0,0,0.34551745,0,0.188740373,2.549194992,0.118427104,0.614314801,0.340350176,23.12374206,1.954940955,6.68378865,0.397507857,0.148305998,0.322274977,5.621563057,0,10.60573176,0,0,4.957459551,0.441489148,0,0,0.966692584,0,1.626670165,0.50889575,0.744454882,1.472432824,4.908247613,0,0,0.652409553,0.308513093,0.331364385,1.274680587,5.561719075,0,0.199887318,0.555567518,0,0,6.711039449,0,0,0,4.678055045,0.45936112,0,0,1.1315362,7.596929291,0,0,46.01696661,3.214433787,35.53138928,21.09220744,15.99507246,14.43918184,11.84581909,0.684574238,84.76278968,37.31563538,Fish,4,3,coral
F-T4-4-08-2,0.143550166,0,0.230918864,0,0.352695003,0.098733637,0.202946136,2.503997589,0.109254298,0.863480418,0.326015658,24.70047254,1.870625936,8.93933545,0.542355813,0.19600718,0.252459995,6.279365248,0,11.2264537,0,0,1.898962582,0.40485006,0,0,0.707346797,0,1.147788042,0.369521127,0.806026899,1.577188961,4.294177661,0,0,0.519267882,0.352080837,0.254306703,0.093891862,5.742924329,0,0,0.622706456,1.696653303,0,6.574168001,0,0.325875664,0,4.514588978,0.489046175,0,0,1.092026519,6.970643793,0,0.210709723,51.0265247,4.717824256,32.73447497,19.9477526,15.47025449,12.78672237,10.93158754,0.641010676,88.47882393,34.52151836,Fish,4,4,coral
F-T4-5-43,0.12581749,0,0.132912873,0,0.381889148,0.105846926,0.21896036,2.872859902,0.116546274,0.915055676,0.190633786,26.58625808,1.682960589,10.26199703,0.550453827,0.150512899,0.230523993,4.290761995,0,9.296969683,0,0,4.466767119,0.402409829,0,0,1.078583164,0,1.468677407,0.410551233,0.596173912,1.388621184,4.513875457,0,0,0.647522577,0.301607024,0.309719574,1.193145815,4.207420036,0,0.192551286,0.576306074,0,0,5.729461005,0,0,0,3.189941567,0.371855772,0,0,0.895566077,7.990774126,0,0,52.44650601,2.788176125,31.17333814,19.72585058,15.19210728,11.44748756,8.900226992,0.580329224,86.40802027,32.94117327,Fish,4,5,coral
L-T1-2-01,0.066650172,0,0.125464475,0,0.498488975,0.122643378,0.283036006,2.625225222,0.134217848,0.532312369,0.395276012,17.98795111,1.519350071,5.376827341,0.36129016,0.284207841,0.40469549,6.883493261,0,8.381072345,0.075530428,0,2.460312648,0.699080755,0,0,1.278849528,0,1.224840934,0.296099837,1.546960502,1.176020135,7.025621731,0,0.537578704,0.199172087,0.633682359,0.454595618,0.674577368,6.255171769,0.208665859,0.569493698,0.53101283,0.074966947,0,10.38408258,0,0,0,4.956109326,0.264028252,0,0,1.979223732,9.833921515,0,0,37.73872748,3.14476951,45.82262046,30.97847592,22.93690652,14.84414454,12.34045408,0.479176076,86.70611745,47.41571878,LiveFeeds,1,2,coral
L-T1-2-22,0,0,0.118015521,0,0.497187949,0.116678425,0.274345098,2.409384994,0.108857037,0.482110087,0.518763307,18.61562711,1.395275054,4.614676719,0.35730877,0.263855733,0.370911245,7.653969476,0,10.45605776,0,0,2.349022891,0.752170642,0,0,1.402278506,0,1.050646076,0.422430619,1.507102174,1.396760309,5.551605114,0,0.571581665,0.190653206,0.8636463,0.496770267,0.791989877,6.178866816,0.418580421,0.729340219,0.651759369,0,0,9.631352417,0,0,0,5.170135828,0.334592942,0,0,1.892993135,8.046703827,0,0,40.02021196,3.048986001,42.13902446,27.04833709,20.64138917,15.09068737,12.63776279,0.557915532,85.20822242,43.94143446,LiveFeeds,1,2,coral
L-T1-3-15,0,0,0,0,0.328324175,0,0.22467077,2.317566858,0,0.533097385,0.489001904,22.38978851,1.722898689,6.202205261,0.565118839,0.331103381,0.459378836,6.403953333,0,12.01103248,0,0,2.623026103,0.629703125,0,0,1.362212202,0,1.536260101,0.583209111,1.127258097,1.598075523,4.114157182,0,0.77259737,0.215367802,0.444105377,0.375265923,1.394877795,5.522288695,0,0.457572357,0.624063126,0,0,7.006286386,0,0,0,5.149009159,0.513541153,0,0,1.414226783,6.593571157,0,0,46.4669849,3.530969146,35.59541348,20.2554996,15.63814745,15.33991388,12.44144157,0.757320934,85.59336752,37.82718339,LiveFeeds,1,3,coral
L-T1-4-27,0,0,0.100470949,0,0.392085192,0.109029717,0.222557409,2.340683768,0.10747919,0.709364545,0.436621782,20.45055377,1.603539821,8.168936945,0.457097172,0.244907747,0.466863951,5.964361412,0,8.352387733,0.072292216,0,2.649252771,0.803001456,0,0,1.511876321,0,1.034804564,0.31819267,1.558478352,1.156764319,5.380286443,0,0.62893113,0.313519964,0.919837805,0.467109035,1.08738546,4.955241514,0.279204911,0.401179608,0.600439501,0,0.656015239,8.704329663,0,0,0,3.534685326,0.318654456,0,0,1.80316789,9.466688228,0,0,42.91883389,3.991014873,39.78325771,27.19215549,20.85383019,12.59110222,10.04442133,0.463041712,86.69310647,41.625851,LiveFeeds,1,4,coral
L-T1-5-01,0,0,0.114705268,0,0.409512449,0.128284433,0.2411178,2.825658303,0.107831607,0.902270402,0.356197815,24.49154841,1.777509443,9.127559739,0.504445221,0.184360068,0.293221685,5.49443348,0,10.04242727,0,0,2.977342336,0.57139355,0,0,1.132057724,0,1.182042568,0.417880285,1.04480826,1.415492749,4.12307513,0,0.888285906,0.271593022,0.48469312,0.336817488,1.289436646,3.886175093,0,0.359351717,0.627403569,0,1.158135012,6.14829303,0,0,0,4.068911962,0.404606406,0,0,1.213256399,7.415465803,0,0,50.16831339,4.743912873,31.8403401,19.94489862,15.4044188,11.89544148,9.581341189,0.596415239,86.75256636,33.68329086,LiveFeeds,1,5,coral
L-T2-2-08,0,0,0.129792678,0,0.389517844,0.089622796,0.217796419,2.877435759,0.116351505,0.616530757,0.359233042,20.19449552,1.623579631,7.033688548,0.415193386,0.226001637,0.362469355,6.758335263,0,9.316448916,0,0,2.44317215,0.574749335,0,0,1.064832641,0,1.257758204,0.295778376,1.15862048,1.432850757,5.529957939,0,0.671294679,0.20715426,0.518193081,0.405396123,1.087318399,6.145650536,0.230818643,0.514150172,0.534216758,0,0,8.518250717,0,0,0,4.914060497,0.285834963,0,0,1.668784661,8.840723436,0,0,42.91942115,3.203614753,40.82217228,25.94715588,19.79279421,14.8750164,12.55242556,0.57328119,86.94520818,42.42983015,LiveFeeds,2,2,coral
