treatment,ID,tank_rep_rand,tank_rep,genotype,fragment,rep,moisture_mgg,ash_DW_mgg,organic_DW_mgg,lipid_DW_mgg,lipid_AFDW_mgg,protien_DW_per,protein_AFDW_mgg
LiveFeeds,L-T4-5-19,LiveFeeds_4,4,5,19,0,100.1676216,946.6113846,53.38861542,9.421145895,176.4635741,0.798,149.4700684
Pellets,P-T1-1-26,Pellets_1,1,1,26,0,116.8769281,949.9686366,50.03136335,11.47205589,229.2972871,0.511,102.1359335
Pellets,P-T1-1-08,Pellets_1,1,1,8,0,104.5767793,947.4720414,52.52795857,6.33059789,120.5186354,0.604,114.9863837
Pellets,P-T1-2-34,Pellets_1,1,2,34,0,81.56131325,967.6309428,32.36905721,9.99860679,308.8939762,0.254,78.47000249
Pellets,P-T1-3-02,Pellets_1,1,3,2,0,71.42003561,968.3696204,31.63037962,7.813493811,247.0249774,0.223,70.50184117
Pellets,P-T1-4-38,Pellets_1,1,4,38,0,81.9697411,939.1796322,60.82036775,6.505023822,106.954694,0.475,78.09883721
Pellets,P-T2-1-38,Pellets_2,2,1,38,0,88.85156043,901.7241379,98.27586207,11.30130325,114.9957173,na,na
Pellets,P-T2-2-05,Pellets_2,2,2,5,0,71.97292813,961.5017616,38.4982384,6.476721986,168.2342428,0.21,54.54795043
Pellets,P-T2-2-24,Pellets_2,2,2,24,0,69.63884202,942.6405959,57.35940407,4.784756528,83.41712411,0.739,128.8367639
Pellets,P-T2-4-01,Pellets_2,2,4,1,0,75.41158632,935.5566914,64.44330863,12.70439005,197.1405615,0.176,27.31082617
Pellets,P-T2-5-05,Pellets_2,2,5,5,0,41.90650586,959.1852654,40.81473456,10.06134969,246.5126823,0.278,68.11265661
Pellets,P-T3-2-11,Pellets_3,3,2,11,0,82.4711133,956.6606068,43.33939323,7.484076433,172.6853072,0.402,92.75625938
Pellets,P-T3-2-33,Pellets_3,3,2,33,0,88.91541101,951.5186009,48.48139908,6.539904929,134.8951361,0.399,82.29960512
Pellets,P-T3-3-05,Pellets_3,3,3,5,0,53.26397744,936.3450138,63.65498621,7.638855144,120.0040342,0.34,53.41294064
Pellets,P-T3-5-08,Pellets_3,3,5,8,0,81.60460958,953.4286045,46.57139554,6.798438263,145.9788392,0.63,135.2761696
Pellets,P-T3-5-26,Pellets_3,3,5,26,0,73.05915468,934.9527827,65.04721732,6.896390718,106.0213027,0.365,56.11308447
Pellets,P-T4-1-50,Pellets_4,4,1,50,0,106.5837095,950.9924192,49.00758076,6.557486186,133.8055477,0.406,82.84432606
Pellets,P-T4-2-06,Pellets_4,4,2,6,0,70.5218024,940.98533,59.01467004,7.291820737,123.5594596,0.223,37.78721457
Pellets,P-T4-2-26,Pellets_4,4,2,26,0,84.87808866,951.2850153,48.71498475,12.24815667,251.4248282,0.354,72.66757895
Pellets,P-T4-4-03,Pellets_4,4,4,3,0,62.71479681,941.31035,58.68965003,7.475834484,127.3790946,0.237,40.38190718
Pellets,P-T4-5-06,Pellets_4,4,5,6,0,54.92270505,954.4557093,45.54429071,5.763225569,126.5411203,0.234,51.3785584
Dissolved,D-T1-1-21,Dissolved_1,1,1,21,0,105.4491658,956.8433023,43.15669775,6.803160563,157.6385803,0.429,99.40519604
Dissolved,D-T1-2-46,Dissolved_1,1,2,46,0,78.68289638,961.3639676,38.63603245,4.548161041,117.7181184,0.505,130.7070028
Dissolved,D-T1-3-23,Dissolved_1,1,3,23,0,68.1696115,960.9693346,39.03066541,6.562605712,168.1397343,0.421,107.8639054
Dissolved,D-T1-4-40,Dissolved_1,1,4,40,0,98.16007872,953.7442897,46.2557103,8.940926024,193.2934543,0.477,103.122403
Dissolved,D-T1-4-43,Dissolved_1,1,4,43,0,133.8273022,949.4016811,50.59831891,6.295747244,124.4260161,0.482,95.26008183
Dissolved,D-T2-2-31,Dissolved_2,2,2,31,0,75.60124634,959.7911798,40.20882022,6.417534679,159.6051474,0.542,134.7962952
Dissolved,D-T2-3-25,Dissolved_2,2,3,25,0,65.01829191,925.4455192,74.55448076,9.213187227,123.5765729,0.473,63.44353755
Dissolved,D-T2-4-20,Dissolved_2,2,4,20,0,90.89023964,909.922475,90.077525,8.82324502,97.9516813,0.461,51.17813794
Dissolved,D-T2-5-02,Dissolved_2,2,5,2,0,79.52176916,926.8578953,73.14210466,8.560163413,117.0346882,0.736,100.6260352
Dissolved,D-T2-5-15,Dissolved_2,2,5,15,0,90.06978049,948.0002074,51.99979259,10.40144207,200.02853,0.478,91.92344358
Dissolved,D-T3-2-51,Dissolved_3,3,2,51,0,84.02850895,945.1364447,54.86355533,30.76470588,560.7494027,1.334,243.1486607
Dissolved,D-T3-3-32,Dissolved_3,3,3,32,0,73.18805318,957.4605817,42.53941832,6.487177061,152.4980199,0.443,104.1387065
Dissolved,D-T3-4-32,Dissolved_3,3,4,32,0,82.05923908,934.1327494,65.86725057,7.433131373,112.8501844,0.345,52.37807819
Dissolved,D-T3-5-04,Dissolved_3,3,5,4,0,51.36923117,947.5257117,52.47428827,18.54090325,353.3331058,0.311,59.26712115
