10:00,11:00,12:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,18:2n-6,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2n-6,22:4n-6,24:00:00,22:5n-3,22:6n-3,24:5n-3,24:6n-3
0.164003891,0,1.443177244,0.432415638,0.117203808,0.22086965,3.297001852,0.154242809,0.711729347,0.212026419,24.19575923,2.108438775,8.580366691,0.500280145,0.177653331,0.304519269,5.370924253,8.242734938,0,0,1.682306215,0.377634431,0,0.76518431,1.596246111,0.375806942,0.662942403,1.212120776,5.691853247,0,0.467532986,0.345874163,0.295140443,0.131176215,6.064200935,0.104680859,0,0.570640855,0,0.941571966,6.941287904,0.488162049,3.936711849,0.392832026,1.069824398,8.202659262,0,0
0,0,0.11340302,0.258178901,0.165398969,0.185819587,2.935723568,0.126792571,0.601841094,0.284395419,23.98037674,2.168294406,8.634239853,0.397675604,0.170739521,0.537101684,4.699352518,9.339590282,0,0,2.277028805,0.461547085,0,1.266114003,1.924048065,0.598986239,0.820176873,1.412977953,5.110274462,0,0.578246233,0.360827357,0.30697066,1.587855037,6.040333712,0,0,0.542633454,0,0,7.939420559,0,3.437807616,0.555849685,1.077566233,8.162659545,0,0
0,0,0,0.409787589,0,0.768534585,2.663702267,0,0.623315448,0.339613439,24.23883534,2.029271511,8.671287324,0.508270058,0,0.411494158,5.773307773,10.61630198,0,0,1.680812576,0.438601635,0,0.985124491,1.472626002,0.766294357,0.947511948,1.427905999,4.398056741,0,0.335185448,0.417903338,0.244015464,1.101021385,5.042730231,0,0,0.607757064,0,3.239401135,6.165062113,0,3.981681869,0.535692346,1.000305289,6.953323627,0,0
0.182386413,0,0.255688009,0.300770177,0,0.532354174,3.155150989,0,0.588879674,0.233471232,26.93966063,2.036280946,9.177287265,0.547769166,0.138485522,0.239342307,3.850744906,8.310351676,0,0,2.912230977,0.423631052,0,1.472431704,2.04845703,0.568697539,0.729446321,1.229380214,4.377908571,0,0.592767692,0.378210642,0.29727717,1.253992943,4.804779904,0,0,0.597016877,0,1.312362754,5.501257675,0.322498337,3.265403042,0.485955837,0.849639853,8.165339247,0,0
0,0,0.142522123,0.358763322,0,0.20371572,3.335622473,0.151622347,0.73779244,0.211687477,25.49459163,2.034708838,10.2480482,0.535470414,0.162973436,0.285603343,4.695200669,8.174686393,0,0,2.491557394,0.366795054,0,1.058334805,1.690778042,0.410837012,0.777890836,1.207360109,5.248937467,0,0.65280708,0.336785527,0.262740261,1.309832019,5.253338641,0,0,0.53751328,0,1.040769395,6.633056834,0,3.236427399,0.412123038,0.968246219,8.741729748,0,0
0,0,0.145974533,0.465219055,0.120486261,0.267735997,3.009329009,0.126735018,0.652777967,0.279381021,22.31793828,1.699192267,7.78696524,0.469743282,0.277473954,0.322223705,6.619616676,9.629787651,0,0,1.568815474,0.346806855,0,0.666237703,1.411146039,0.397354518,0.767717004,1.470836746,5.255399029,0,0.466199344,0.34040178,0.28759309,1.001303731,6.357162854,0,0,0.551004322,0,1.267033878,7.936110746,0,4.600207399,0.451896569,1.324785619,7.848653572,0,0
0,0,0.150018607,0.421504964,0.095756787,0.232335629,3.036989849,0.121410191,0.581367452,0.22051035,21.19864992,1.656107681,8.08513521,0.448764161,0.217948784,0.413138631,5.399121698,7.356136074,0,0,2.11687119,0.410470889,0,1.03506033,1.742693963,0.417083227,0.691927218,1.127231517,6.271605982,0,0.492632051,0.364558318,0.266351127,1.288857238,7.85302358,0,0,0.601919027,0,1.119494118,8.757766947,0,3.252509398,0.367917974,1.272156365,10.36648452,0,0
0,0,0,0.536038854,0.12870953,0.299817622,2.645714337,0,0.643672383,0.335004828,22.60286488,1.748045867,7.320341624,0.446299543,0.18761413,0.308757677,7.072572989,10.7664487,0,0,1.489433529,0.444811979,0,1.145529284,1.320094452,0.560349515,0.840306913,1.529962317,5.055306364,0,0.417267838,0.46404684,0.240737528,0.980411544,5.861703633,0,0,0.566068185,0,1.596986422,7.563281138,0,5.001871514,0.466425327,1.150028408,7.428957778,0,0
0,0,0.14455146,0.36181359,0,0.201672612,2.951176352,0,0.505908217,0.177557862,24.83380103,1.93607611,9.218245479,0.527858078,0.150601526,0.262397892,4.563172337,8.265442258,0,0,1.687734235,0.377295812,0,1.310886588,1.795884924,0.498934976,0.534101636,1.260142456,4.646627688,0,0.449560425,0.388798808,0.294431354,1.381635243,6.409955316,0,0,0.66283399,0,1.360418944,6.545112812,0,3.894041547,0.420180314,1.266836166,9.077632739,0,0
0,0,0.167106261,0.568726794,0.146611883,0.335412014,3.126516652,0.182394389,0.707998802,0.283985395,23.27023336,2.14880388,7.927757661,0.490928799,0.27240591,0.361266667,4.779126247,7.785864609,0,0,2.270119512,0.446632419,0,1.20678367,1.431395663,0.608703536,0.647821976,1.113779621,5.75298943,0,0.577545022,0.39042706,0.237909599,0.829963718,6.459181027,0,0,0.515713093,0,1.466528661,9.296393016,0,2.998920546,0.479888793,1.191509017,8.814622007,0,0
