sample_names,treatment,replicate,genotype,fragment,SE,TAG,12DAG,FFA,STEROL,AMPL,PE,PSPI,PC,LPC,lipid_AFDW_mgg
FL_T2_2_4,Field,1,2,4,9.922633102,20.09943619,8.211015286,3.322057442,7.241998094,14.18863685,8.105071226,11.81900399,10.9572365,6.132911317,189.9618538
FL_T3_4_3,Field,1,4,3,10.50298412,21.93455711,6.389732909,4.492168792,4.831271527,21.96406653,6.420242194,9.151243612,9.131753327,5.181979882,69.04172125
FL_T4_4_5,Field,1,4,5,11.05529814,17.17530013,7.955655183,3.934860126,5.742935892,18.02765128,7.894274741,11.45889934,10.83087825,5.924246921,60.26915342
FL_T5_2_7,Field,1,2,7,12.22149917,40.1313905,5.401769327,2.859812625,5.05655973,10.04453731,5.330241807,7.899618975,6.990955363,4.063615199,120.5719205
FL_T6_5_8,Field,1,5,8,10.81009607,15.57695354,9.323387784,2.403224528,4.92321221,15.42055404,9.228208321,13.67655206,11.77983233,6.85797912,117.322736
FL_T7_5_4,Field,1,5,4,13.19607619,24.96828284,7.148712066,4.21382063,5.376923055,13.73851956,6.922426063,10.28573615,8.916030173,5.233473266,85.35854341
FL_T8_1_8,Field,1,1,8,9.881884232,24.60094067,7.169091516,3.189960246,4.913908629,18.03718587,7.119693697,10.42031654,9.333761859,5.333256743,109.5227142
FL_T9_1_6,Field,1,1,6,9.10957581,22.87220504,8.396886003,2.67405249,5.389097108,14.71778798,8.185375382,12.08654785,10.422563,6.145909331,82.50000115
L_T1_2_1,LiveFeeds,1,2,1,9.607621176,2.531301083,8.08284526,8.403040116,10.4395204,22.16607892,7.715936997,13.32172873,11.76486749,5.96705982,73.2863576
L_T1_2_22,LiveFeeds,1,2,22,5.760896246,2.163813006,10.3000053,5.060173287,8.852750129,20.34060734,10.59062467,15.67048266,13.39503088,7.865616472,274.6384305
L_T1_3_15,LiveFeeds,1,3,15,7.491505937,2.869590902,10.52856236,4.556872646,6.986197962,21.23030888,10.29451809,15.25686327,12.9769142,7.808665756,186.4808083
L_T1_4_27,LiveFeeds,1,4,27,10.56072114,3.495500622,9.066851619,7.367931593,11.07357543,18.20113298,8.909612303,13.29753643,11.46203503,6.565102851,144.4519093
L_T1_5_1,LiveFeeds,1,5,1,9.068671192,3.990235845,10.13536889,5.955614688,7.238505202,18.16658194,10.04610492,14.96481355,12.86386838,7.570235394,103.4510181
L_T2_2_8,LiveFeeds,2,2,8,9.89952554,3.818388051,9.470480815,7.474088481,10.31541156,17.9933618,9.013652557,13.40756047,11.73579455,6.87173619,67.51475073
L_T2_3_20,LiveFeeds,2,3,20,8.370141109,3.484221835,9.305244319,4.81665722,6.125161968,26.31206123,9.108962528,13.54194342,11.63679317,7.2988132,75.93757046
L_T2_3_38,LiveFeeds,2,3,38,9.08179593,3.958115762,9.765749649,5.773516287,8.074700574,20.53783684,9.530904054,14.06606239,12.08507178,7.126246724,122.7903569
L_T2_4_42,LiveFeeds,2,4,42,9.91827821,3.435238619,9.004536164,7.456428348,12.20128837,18.00808649,8.792162224,13.0029344,11.58895075,6.59209643,84.06107215
L_T2_5_33,LiveFeeds,2,5,33,9.36355198,4.37590232,9.57525674,3.034512032,8.453074301,22.12613906,9.488162093,14.0543335,12.36215523,7.16691274,201.4664296
L_T3_1_13,LiveFeeds,3,1,13,9.051367273,6.259052724,8.684672994,9.655333719,9.709791256,18.0431126,8.414516885,12.52759142,11.30822618,6.346334956,99.84704297
L_T3_1_19,LiveFeeds,3,1,19,7.405897942,2.825032156,11.05408692,4.105504148,6.445103033,18.33790136,11.04519488,16.40277155,14.06279646,8.315711554,89.87909574
L_T3_2_4,LiveFeeds,3,2,4,8.785412618,2.790485107,9.212336382,5.742979582,8.433042434,23.60500353,9.178875499,13.31761507,11.97097857,6.963271205,188.0941997
L_T3_2_32,LiveFeeds,3,2,32,9.744833929,5.326541934,9.394011314,6.834752106,7.698118552,19.02480291,9.272803441,13.67112623,11.98131017,7.051699423,97.67922939
L_T3_5_21,LiveFeeds,3,5,21,7.411617301,2.72254805,11.32700048,3.679280133,6.282397532,18.61948851,11.12173793,16.47406658,13.96102415,8.400839329,58.59118042
L_T4_1_33,LiveFeeds,4,1,33,7.308482943,2.730510563,9.624378907,6.051498877,6.789679312,25.08855796,9.392932979,13.91327544,11.96975427,7.130928749,89.80763543
L_T4_1_40,LiveFeeds,4,1,40,9.281893503,3.065671339,8.788115754,6.698031126,10.282269,22.31154554,8.802783161,13.20143032,11.08905712,6.47920313,132.0353164
L_T4_3_43,LiveFeeds,4,3,43,6.347813438,2.569696119,7.869560767,4.078828779,5.3131271,39.31998373,7.634236297,11.30820721,9.704351666,5.854194895,60.91795524
L_T4_5_13,LiveFeeds,4,5,13,12.50561894,7.937206627,8.610992893,6.968677664,7.867829607,17.27254753,8.607269118,12.4267554,11.51213348,6.290968752,127.4256703
L_T4_5_19,LiveFeeds,4,5,19,6.853319405,3.202919422,6.346708437,4.23751821,5.526636419,45.41930078,6.208440062,9.086614312,8.373640343,4.74490261,176.4635741
M_T1_2_40,Mix,1,2,40,7.314955817,2.470911189,9.486492387,4.786255279,8.41791272,23.67857902,9.421126778,14.24376067,12.94399845,7.236007693,133.2778877
M_T1_3_55,Mix,1,3,55,8.87302822,3.656990689,9.167550493,7.043457229,8.30182745,19.95890068,9.471143808,14.17290696,12.25356862,7.100625855,61.12403534
M_T1_3_56,Mix,1,3,56,8.232632515,3.488976735,7.24992738,5.027379658,6.045984024,37.59394873,6.970403275,10.40035464,9.325131655,5.665261386,104.9029035
M_T1_4_46,Mix,1,4,46,8.550328889,3.481919412,7.82917247,5.403723294,7.741174459,32.35218623,7.549760796,11.18307793,10.14813397,5.760522548,82.34967319
M_T1_5_44,Mix,1,5,44,7.700784019,3.365647096,8.961360637,8.813878953,6.981399552,22.52254163,9.277531955,13.03346389,11.85520374,7.488188528,92.08291487
M_T2_2_37,Mix,2,2,37,8.550392007,3.090837764,9.055891472,6.909068608,7.873943805,23.8302523,8.912069407,13.18712016,11.71158003,6.87884445,108.3648019
M_T2_3_19,Mix,2,3,19,8.391059989,3.751016202,9.819105972,7.271759928,7.066332854,20.04365538,9.681505019,14.22879517,12.31669212,7.430077366,60.89674425
M_T2_4_29,Mix,2,4,29,11.7682638,5.782952986,9.244929663,6.419166296,8.140805467,17.2836963,9.043521104,13.23601218,12.1689922,6.911660009,207.8385249
M_T2_5_30,Mix,2,5,30,6.465152443,4.006841272,5.691937804,4.092361981,4.434336887,49.9102372,5.565409092,8.248145742,7.192956233,4.392621346,170.490315
M_T2_5_35,Mix,2,5,35,4.383748704,1.813549849,6.097912048,2.401476596,3.412030174,54.57683435,6.069180665,8.93891864,7.568981225,4.737367748,90.78946599
M_T3_3_33,Mix,3,3,33,8.577468414,4.710038997,8.407310564,4.970525142,9.430926965,26.24544111,8.131513106,12.48488722,10.77524458,6.266643898,76.32106207
M_T3_4_5,Mix,3,4,5,11.76159698,6.389148082,8.942725561,5.209172665,7.907327479,21.25281959,8.557581299,12.62309945,10.88685013,6.469678772,104.224967
M_T3_4_18,Mix,3,4,18,14.03408263,7.430781918,8.006486229,9.460290533,7.836058896,17.39227571,7.873430738,11.72201859,10.1877883,6.056786457,70.08949931
M_T3_5_16,Mix,3,5,16,13.29610054,9.328771898,8.896386171,4.833827599,7.550168312,17.27898538,8.712542644,12.69890704,10.93777109,6.466539319,171.0729384
M_T3_5_41,Mix,3,5,41,9.450003085,4.03580783,9.589786947,7.037064252,6.774752019,21.19494441,8.876962235,13.82160153,12.24205306,6.977024622,139.0029444
M_T4_2_2,Mix,4,2,2,5.911283349,2.854898032,5.838218618,5.298858634,4.7886113,48.62470637,5.888954432,8.643924049,7.531730158,4.61881506,140.4100744
M_T4_3_14,Mix,4,3,14,10.11262267,6.322538052,10.21138657,4.80234962,6.727730224,17.23585379,9.906034184,14.61969338,12.6550604,7.406731119,53.62357167
M_T4_4_11,Mix,4,4,11,6.759547046,2.746328286,7.640960428,3.645190443,4.849446997,40.77565301,7.434774362,11.13346853,9.427204529,5.587426369,195.4189313
M_T4_4_26,Mix,4,4,26,14.35670026,7.623354152,7.81452837,9.194430148,8.315121293,19.08236087,7.265790017,10.92612908,9.714825153,5.706760661,102.1501638
M_T4_5_42,Mix,4,5,42,8.054467569,3.134619952,10.22352122,5.118330428,7.809675623,20.07678604,10.22634635,14.96000169,12.80615104,7.590100097,159.1261566
